t(s)
100.0
210.0
331.0
464.1
610.5100000000001
771.5610000000001
948.7171000000003
1143.5888100000004
1357.9476910000005
1593.7424601000007
1853.116706110001
2138.4283767210013
2452.2712143931017
2797.498335832412
3177.2481694156536
3594.9729863572193
4054.4702849929417
4559.917313492237
5115.909044841461
5727.499949325607
6400.249944258168
7140.274938683986
7954.302432552385
8849.732675807623
9834.705943388386
10918.176537727226
12109.994191499949
13420.993610649944
14863.092971714941
16449.402268886435
18194.34249577508
20113.77674535259
22225.154419887847
24547.669861876635
27102.436848064302
29912.680532870734
33003.948586157814
36404.3434447736
40144.77778925096
44259.255568176064
48785.18112499367
53763.69923749304
59240.06916124235
65264.07607736659
71890.48368510326
79179.5320536136
87197.48525897496
96017.23378487247
105718.95716335972
116390.8528796957
128129.93816766527
141042.9319844318
155247.225182875
170871.9477011625
188059.14247127878
206965.05671840667
227761.56239024736
250637.71862927213
275801.4904921994
303481.63954141934
333929.8034955613
367422.78384511743
404265.0622296292
444791.5684525922
489370.72529785143
538407.7978276366
592348.5776104003
651683.4353714404
716951.7789085845
788746.956799443
864000.0
